,name,path,variable,size,seed,lr,iter,constrain,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,xor,results/xor/x1_16_0_gradient_0.1_50/,x1,16,0,0.1,50,False,0.010658464430839105,0.08221282451310895,0.16638834934228597,-0.8543563068920675,0.011190308,0.085486345,0.19670385,-0.8857142857142857
0,heart,results/heart/age_128_0_gradient_0.1_50/,age,128,0,0.1,50,False,0.0005100906233353723,0.018939077199698773,0.04676689947471893,-0.5370611183355006,0.0009227288,0.026539382,0.055461407,-0.9922077922077923
