,name,path,variable,size,seed,lr,iter,constrain,dist_weight,ale_l2,ale_l1,ale_max_diff,ale_rho,pd_l2,pd_l1,pd_max_diff,pd_rho
0,heart,results_final/heart/age_128_9_gradient_0.1_50_0.01/,age,128,9,0.1,50,False,0.01,0.020445748470183676,0.020445748470183676,0.061051270953025684,-0.553966189856957,0.035117395,0.035117395,0.072344005,-0.9974025974025975
0,titanic,results_final/titanic/Age_128_8_gradient_0.1_50_1.0/,Age,128,8,0.1,50,False,1.0,0.02215939188980783,0.02215939188980783,0.05244473868975809,0.9233268356075373,0.052466318,0.052466318,0.121634305,0.9662337662337662
0,bike,results_final/bike/atemp_64_9_gradient_0.1_50_10.0/,atemp,64,9,0.1,50,False,10.0,0.15632288556720633,0.15632288556720633,0.2775150037002396,0.056530214424951264,0.17101812,0.17101812,0.29763865,-0.3025974025974026
0,heart,results_final/heart/age_128_9_gradient_0.1_50_0.1/,age,128,9,0.1,50,False,0.1,0.01861872662464297,0.01861872662464297,0.043238218134441356,-0.4577373211963589,0.032287832,0.032287832,0.056626737,-0.9116883116883117
0,titanic,results_final/titanic/Fare_128_8_gradient_0.1_50_1.0/,Fare,128,8,0.1,50,False,1.0,0.016767506766738275,0.016767506766738275,0.04613730374637201,0.858956276445698,0.080906026,0.080906026,0.15603882,1.0
0,titanic,results_final/titanic/Age_128_8_gradient_0.1_50_10.0/,Age,128,8,0.1,50,False,10.0,0.002988903996576784,0.002988903996576784,0.008534393519278649,0.9974009096816114,0.008379766,0.008379766,0.013911426,0.9987012987012988
0,bike,results_final/bike/atemp_128_9_gradient_0.1_50_0.0/,atemp,128,9,0.1,50,False,0.0,0.10095616767921411,0.10095616767921411,0.1737286742852639,0.35458715771101623,0.1569229,0.1569229,0.2680486,-0.9038961038961039
0,heart,results_final/heart/age_128_9_gradient_0.1_50_1.0/,age,128,9,0.1,50,False,1.0,0.009183444274452795,0.009183444274452795,0.01820401736169896,-0.019505851755526656,0.018241698,0.018241698,0.023773551,0.2961038961038961
0,adult,results_final/adult/age_64_7_gradient_0.1_50_0.1/,age,64,7,0.1,50,False,0.1,0.05794116535469073,0.05794116535469073,0.11605949628055472,-0.3996101364522417,0.060036257,0.060036257,0.1064965,0.01948051948051948
0,titanic,results_final/titanic/Fare_128_8_gradient_0.1_50_10.0/,Fare,128,8,0.1,50,False,10.0,0.011599318275153984,0.011599318275153984,0.015937829797680186,0.9985895627644569,0.011760442,0.011760442,0.024953306,1.0
0,titanic,results_final/titanic/Age_32_9_gradient_0.1_50_0.0/,Age,32,9,0.1,50,False,0.0,0.13435829859681805,0.13435829859681805,0.2466020451958085,-0.9571150097465887,0.13958862,0.13958862,0.36981943,-1.0
0,bike,results_final/bike/atemp_128_9_gradient_0.1_50_0.001/,atemp,128,9,0.1,50,False,0.001,0.09975503585828865,0.09975503585828865,0.17498614560447112,0.5269655620532814,0.15979804,0.15979804,0.26718923,-0.9038961038961039
